ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10230953,HY418703,09/10/2015 11:56:00 PM,048XX W NORTH AVE,498,BATTERY,AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY,APARTMENT,true,true,2533,25,37,25,04B,1143637,1910194,2015,09/17/2015 11:37:18 AM,41.909605035,-87.747777145,"(41.909605035, -87.747777145)"
10230979,HY418750,09/10/2015 11:55:00 PM,120XX S PARNELL AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,ALLEY,true,true,523,5,34,53,08B,1174806,1825089,2015,09/17/2015 11:37:18 AM,41.675427135,-87.63581257,"(41.675427135, -87.63581257)"
10231208,HY418843,09/10/2015 11:50:00 PM,021XX W BERWYN AVE,820,THEFT,$500 AND UNDER,STREET,false,false,2012,20,40,4,6,1161036,1935171,2015,09/17/2015 11:37:18 AM,41.97779966,-87.683164484,"(41.97779966, -87.683164484)"
10230943,HY418702,09/10/2015 11:45:00 PM,009XX N DRAKE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,1121,11,27,23,08B,1152539,1906092,2015,09/17/2015 11:37:18 AM,41.898177341,-87.71518334,"(41.898177341, -87.71518334)"
10230974,HY418690,09/10/2015 11:35:00 PM,038XX W HARRISON ST,337,ROBBERY,ATTEMPT: ARMED-OTHER DANG WEAP,STREET,false,false,1133,11,24,26,3,1151141,1897093,2015,09/17/2015 11:37:18 AM,41.873510659,-87.720554136,"(41.873510659, -87.720554136)"
10233462,HY421628,09/10/2015 11:30:00 PM,049XX W GLADYS AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,false,false,1533,15,24,25,11,1143652,1897891,2015,09/17/2015 11:37:18 AM,41.875843892,-87.748030348,"(41.875843892, -87.748030348)"
10231069,HY418804,09/10/2015 11:30:00 PM,016XX W 79TH ST,890,THEFT,FROM BUILDING,RESIDENCE,false,false,611,6,21,71,6,1166608,1852321,2015,09/17/2015 11:37:18 AM,41.75033427,-87.665045312,"(41.75033427, -87.665045312)"
10230957,HY418714,09/10/2015 11:30:00 PM,056XX S KARLOV AVE,820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),false,false,813,8,13,62,6,1149996,1866916,2015,09/17/2015 11:37:18 AM,41.790723284,-87.725541949,"(41.790723284, -87.725541949)"
10231724,HY419244,09/10/2015 11:30:00 PM,002XX S LOTUS AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1522,15,29,25,14,1139915,1898582,2015,09/17/2015 11:37:18 AM,41.877809197,-87.761734553,"(41.877809197, -87.761734553)"
10230986,HY418698,09/10/2015 11:30:00 PM,016XX E 67TH ST,560,ASSAULT,SIMPLE,SIDEWALK,false,false,331,3,5,42,08A,1188443,1860888,2015,09/17/2015 11:37:18 AM,41.773349622,-87.584759546,"(41.773349622, -87.584759546)"
10230990,HY418689,09/10/2015 11:23:00 PM,048XX W WEST END AVE,810,THEFT,OVER $500,SIDEWALK,false,false,1532,15,28,25,6,1144174,1900547,2015,09/17/2015 11:37:18 AM,41.883122495,-87.746046999,"(41.883122495, -87.746046999)"
10230959,HY418686,09/10/2015 11:23:00 PM,077XX S CORNELL AVE,460,BATTERY,SIMPLE,APARTMENT,false,false,414,4,8,43,08B,1188578,1854067,2015,09/17/2015 11:37:18 AM,41.754628982,-87.584482356,"(41.754628982, -87.584482356)"
10232294,HY419935,09/10/2015 11:20:00 PM,034XX N ELSTON AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1733,17,33,21,7,1154986,1922990,2015,09/17/2015 11:37:18 AM,41.944498093,-87.705741447,"(41.944498093, -87.705741447)"
10230994,HY418680,09/10/2015 11:10:00 PM,016XX W HOWARD ST,560,ASSAULT,SIMPLE,STREET,false,true,2422,24,49,1,08A,1164257,1950346,2015,09/17/2015 11:37:18 AM,42.019372548,-87.670887574,"(42.019372548, -87.670887574)"
10230945,HY418683,09/10/2015 11:05:00 PM,092XX S COTTAGE GROVE AVE,2027,NARCOTICS,POSS: CRACK,STREET,true,false,633,6,9,44,18,1183184,1843686,2015,09/17/2015 11:37:18 AM,41.726269511,-87.604571673,"(41.726269511, -87.604571673)"
10230950,HY418692,09/10/2015 11:03:00 PM,047XX W BELMONT AVE,2022,NARCOTICS,POSS: COCAINE,STREET,true,false,1731,17,30,15,18,1144041,1920850,2015,09/17/2015 11:37:18 AM,41.93883859,-87.746024891,"(41.93883859, -87.746024891)"
10232711,HY419389,09/10/2015 11:00:00 PM,006XX N LAKE SHORE DR,820,THEFT,$500 AND UNDER,SIDEWALK,false,false,1834,18,42,8,6,1179651,1905033,2015,09/17/2015 11:37:18 AM,41.894692183,-87.615636574,"(41.894692183, -87.615636574)"
10231612,HY419185,09/10/2015 11:00:00 PM,055XX S CENTRAL AVE,820,THEFT,$500 AND UNDER,STREET,false,false,811,8,23,56,6,1139975,1867311,2015,09/17/2015 11:37:18 AM,41.791995762,-87.762277568,"(41.791995762, -87.762277568)"
